# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:41 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²]
201.000000;0.039057;0.038672;0.000385;-2.593682;-3.602708;1.009025;-3591.017397;-4717.603577;1126.586180
202.000000;0.038965;0.038544;0.000421;-2.718436;-3.765956;1.047520;-3594.781734;-4685.280180;1090.498446
203.000000;0.038868;0.038410;0.000458;-2.843319;-3.928058;1.084739;-3598.447493;-4651.529601;1053.082108
204.000000;0.038767;0.038271;0.000496;-2.968327;-4.088963;1.120636;-3601.979370;-4616.362122;1014.382752
205.000000;0.038662;0.038126;0.000536;-3.093454;-4.248622;1.155168;-3605.340927;-4579.788454;974.447527
206.000000;0.038552;0.037976;0.000577;-3.218695;-4.406987;1.188292;-3608.494650;-4541.819738;933.325088
207.000000;0.038438;0.037820;0.000618;-3.344041;-4.564010;1.219969;-3611.402004;-4502.467539;891.065535
208.000000;0.038320;0.037659;0.000661;-3.469484;-4.719643;1.250159;-3614.023489;-4461.743846;847.720357
209.000000;0.038198;0.037492;0.000705;-3.595011;-4.873838;1.278826;-3616.318700;-4419.661062;803.342362
210.000000;0.038071;0.037321;0.000750;-3.720613;-5.026548;1.305936;-3618.246388;-4376.232006;757.985618
211.000000;0.037939;0.037143;0.000796;-3.846274;-5.177727;1.331454;-3619.764522;-4331.469908;711.705385
212.000000;0.037803;0.036961;0.000842;-3.971980;-5.327329;1.355349;-3620.830353;-4285.388402;664.558049
213.000000;0.037663;0.036773;0.000890;-4.097715;-5.475309;1.377594;-3621.400473;-4238.001525;616.601052
214.000000;0.037519;0.036581;0.000938;-4.223460;-5.621620;1.398160;-3621.430891;-4189.323712;567.892820
215.000000;0.037370;0.036383;0.000987;-4.349196;-5.766219;1.417023;-3620.877091;-4139.369790;518.492699
216.000000;0.037217;0.036180;0.001036;-4.474902;-5.909062;1.434159;-3619.694101;-4088.154976;468.460875
217.000000;0.037059;0.035973;0.001087;-4.600556;-6.050104;1.449548;-3617.836568;-4035.694871;417.858303
218.000000;0.036897;0.035760;0.001137;-4.726133;-6.189304;1.463171;-3615.258819;-3982.005454;366.746635
219.000000;0.036731;0.035543;0.001188;-4.851607;-6.326619;1.475012;-3611.914936;-3927.103079;315.188143
220.000000;0.036560;0.035321;0.001240;-4.976951;-6.462006;1.485055;-3607.758828;-3871.004471;263.245643
