# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  115.0000 |       0.0309 |     0.0285 |     0.0025 |        7.9560 |      9.1112 |     -1.1552 |    -3110.0380 |  -2135.5904 |   -974.4475 |
|  116.0000 |       0.0312 |     0.0288 |     0.0024 |        7.8474 |      9.0357 |     -1.1883 |    -3148.5186 |  -2215.1935 |   -933.3251 |
|  117.0000 |       0.0315 |     0.0291 |     0.0024 |        7.7374 |      8.9574 |     -1.2200 |    -3185.1873 |  -2294.1218 |   -891.0655 |
|  118.0000 |       0.0317 |     0.0294 |     0.0023 |        7.6262 |      8.8764 |     -1.2502 |    -3220.0716 |  -2372.3513 |   -847.7204 |
|  119.0000 |       0.0320 |     0.0297 |     0.0023 |        7.5138 |      8.7926 |     -1.2788 |    -3253.2005 |  -2449.8581 |   -803.3424 |
|  120.0000 |       0.0322 |     0.0300 |     0.0023 |        7.4003 |      8.7062 |     -1.3059 |    -3284.6043 |  -2526.6187 |   -757.9856 |
|  121.0000 |       0.0325 |     0.0303 |     0.0022 |        7.2857 |      8.6172 |     -1.3315 |    -3314.3151 |  -2602.6097 |   -711.7054 |
|  122.0000 |       0.0328 |     0.0306 |     0.0022 |        7.1702 |      8.5255 |     -1.3553 |    -3342.3659 |  -2677.8079 |   -664.5580 |
|  123.0000 |       0.0330 |     0.0309 |     0.0021 |        7.0536 |      8.4312 |     -1.3776 |    -3368.7914 |  -2752.1904 |   -616.6011 |
|  124.0000 |       0.0332 |     0.0312 |     0.0021 |        6.9362 |      8.3344 |     -1.3982 |    -3393.6273 |  -2825.7345 |   -567.8928 |
|  125.0000 |       0.0335 |     0.0315 |     0.0020 |        6.8180 |      8.2350 |     -1.4170 |    -3416.9106 |  -2898.4179 |   -518.4927 |
|  126.0000 |       0.0337 |     0.0318 |     0.0020 |        6.6990 |      8.1331 |     -1.4342 |    -3438.6793 |  -2970.2185 |   -468.4609 |
|  127.0000 |       0.0339 |     0.0320 |     0.0019 |        6.5792 |      8.0288 |     -1.4495 |    -3458.9725 |  -3041.1142 |   -417.8583 |
|  128.0000 |       0.0342 |     0.0323 |     0.0019 |        6.4588 |      7.9219 |     -1.4632 |    -3477.8303 |  -3111.0836 |   -366.7466 |
|  129.0000 |       0.0344 |     0.0326 |     0.0018 |        6.3377 |      7.8127 |     -1.4750 |    -3495.2935 |  -3180.1054 |   -315.1881 |
|  130.0000 |       0.0346 |     0.0329 |     0.0018 |        6.2161 |      7.7011 |     -1.4851 |    -3511.4041 |  -3248.1584 |   -263.2456 |
