# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
109.000000;0.029250;0.026511;0.002682;8.537228;9.505389;-0.928396;-2876.281011;-1645.173192;-1194.601636;16.478502;-51.197391;-70925.437905
110.000000;0.029544;0.026840;0.002649;8.436544;9.446821;-0.969301;-2922.744998;-1728.308998;-1161.301341;16.374100;-53.755672;-70412.728085
111.000000;0.029835;0.027167;0.002615;8.334283;9.385374;-1.009025;-2967.209262;-1810.918345;-1126.586180;16.264629;-56.293574;-69876.508136
112.000000;0.030123;0.027492;0.002579;8.230511;9.321069;-1.047520;-3009.705194;-1892.976068;-1090.498446;16.150129;-58.810221;-69317.163576
113.000000;0.030407;0.027815;0.002542;8.125298;9.253924;-1.084739;-3050.266079;-1974.457173;-1053.082108;16.030645;-61.304755;-68735.091475
114.000000;0.030687;0.028135;0.002504;8.018709;9.183961;-1.120636;-3088.926974;-2055.336838;-1014.382752;15.906221;-63.776337;-68130.699580
115.000000;0.030964;0.028452;0.002464;7.910810;9.111200;-1.155168;-3125.724595;-2135.590429;-974.447527;15.776903;-66.224150;-67504.405431
116.000000;0.031237;0.028767;0.002423;7.801666;9.035663;-1.188292;-3160.697192;-2215.193497;-933.325088;15.642740;-68.647394;-66856.635483
117.000000;0.031506;0.029080;0.002382;7.691338;8.957375;-1.219969;-3193.884437;-2294.121797;-891.065535;15.503780;-71.045292;-66187.824213
118.000000;0.031771;0.029389;0.002339;7.579889;8.876357;-1.250159;-3225.327297;-2372.351284;-847.720357;15.360077;-73.417087;-65498.413242
119.000000;0.032032;0.029696;0.002295;7.467377;8.792636;-1.278826;-3255.067920;-2449.858131;-803.342362;15.211681;-75.762041;-64788.850459
120.000000;0.032289;0.030000;0.002250;7.353861;8.706237;-1.305936;-3283.149517;-2526.618727;-757.985618;15.058647;-78.079441;-64059.589149
121.000000;0.032543;0.030301;0.002204;7.239399;8.617186;-1.331454;-3309.616243;-2602.609690;-711.705385;14.901031;-80.368591;-63311.087137
122.000000;0.032792;0.030598;0.002158;7.124045;8.525509;-1.355349;-3334.513086;-2677.807873;-664.558049;14.738890;-82.628820;-62543.805949
123.000000;0.033037;0.030893;0.002110;7.007853;8.431236;-1.377594;-3357.885752;-2752.190370;-616.601052;14.572281;-84.859476;-61758.209980
124.000000;0.033279;0.031184;0.002062;6.890876;8.334395;-1.398160;-3379.780552;-2825.734523;-567.892820;14.401265;-87.059929;-60954.765694
125.000000;0.033516;0.031472;0.002013;6.773163;8.235015;-1.417023;-3400.244302;-2898.417931;-518.492699;14.225901;-89.229571;-60133.940831
126.000000;0.033749;0.031756;0.001964;6.654764;8.133126;-1.434159;-3419.324210;-2970.218451;-468.460875;14.046253;-91.367815;-59296.203650
127.000000;0.033978;0.032036;0.001913;6.535725;8.028760;-1.449548;-3437.067777;-3041.114215;-417.858303;13.862382;-93.474094;-58442.022188
128.000000;0.034203;0.032313;0.001863;6.416093;7.921948;-1.463171;-3453.522699;-3111.083626;-366.746635;13.674353;-95.547864;-57571.863550
129.000000;0.034424;0.032586;0.001812;6.295912;7.812723;-1.475012;-3468.736772;-3180.105370;-315.188143;13.482231;-97.588599;-56686.193228
130.000000;0.034640;0.032856;0.001760;6.175223;7.701119;-1.485055;-3482.757798;-3248.158424;-263.245643;13.286082;-99.595797;-55785.474447
131.000000;0.034852;0.033121;0.001709;6.054067;7.587168;-1.493289;-3495.633499;-3315.222057;-210.982418;13.085974;-101.568973;-54870.167540
132.000000;0.035061;0.033383;0.001657;5.932483;7.470907;-1.499704;-3507.411432;-3381.275841;-158.462144;12.881975;-103.507663;-53940.729363
133.000000;0.035264;0.033640;0.001605;5.810509;7.352369;-1.504291;-3518.138910;-3446.299656;-105.748808;12.674153;-105.411425;-52997.612732
134.000000;0.035464;0.033893;0.001552;5.688179;7.231592;-1.507046;-3527.862922;-3510.273695;-52.906633;12.462580;-107.279832;-52041.265898
135.000000;0.035659;0.034142;0.001500;5.565529;7.108613;-1.507964;-3536.630066;-3573.178470;-0.000000;12.247324;-109.112480;-51072.132061
136.000000;0.035851;0.034387;0.001448;5.442591;6.983468;-1.507046;-3544.486475;-3634.994821;52.906633;12.028459;-110.908981;-50090.648906
137.000000;0.036037;0.034627;0.001395;5.319394;6.856195;-1.504291;-3551.477756;-3695.703917;105.748808;11.806056;-112.668965;-49097.248185
138.000000;0.036220;0.034863;0.001343;5.195970;6.726835;-1.499704;-3557.648930;-3755.287265;158.462144;11.580188;-114.392082;-48092.355323
139.000000;0.036398;0.035094;0.001291;5.072344;6.595425;-1.493289;-3563.044371;-3813.726717;210.982418;11.350929;-116.077998;-47076.389068
140.000000;0.036572;0.035321;0.001240;4.948545;6.462006;-1.485055;-3567.707757;-3871.004471;263.245643;11.118353;-117.726394;-46049.761168
141.000000;0.036742;0.035543;0.001188;4.824595;6.326619;-1.475012;-3571.682022;-3927.103079;315.188143;10.882535;-119.336970;-45012.876084
142.000000;0.036907;0.035760;0.001137;4.700519;6.189304;-1.463171;-3575.009306;-3982.005454;366.746635;10.643551;-120.909440;-43966.130738
143.000000;0.037068;0.035973;0.001087;4.576337;6.050104;-1.449548;-3577.730917;-4035.694871;417.858303;10.401477;-122.443535;-42909.914288
144.000000;0.037225;0.036180;0.001036;4.452072;5.909062;-1.434159;-3579.887291;-4088.154976;468.460875;10.156390;-123.938999;-41844.607945
145.000000;0.037377;0.036383;0.000987;4.327740;5.766219;-1.417023;-3581.517958;-4139.369790;518.492699;9.908366;-125.395592;-40770.584812
146.000000;0.037526;0.036581;0.000938;4.203361;5.621620;-1.398160;-3582.661511;-4189.323712;567.892820;9.657482;-126.813087;-39688.209757
147.000000;0.037669;0.036773;0.000890;4.078949;5.475309;-1.377594;-3583.355573;-4238.001525;616.601052;9.403818;-128.191269;-38597.839322
148.000000;0.037809;0.036961;0.000842;3.954521;5.327329;-1.355349;-3583.636779;-4285.388402;664.558049;9.147452;-129.529939;-37499.821653
149.000000;0.037944;0.037143;0.000796;3.830090;5.177727;-1.331454;-3583.540745;-4331.469908;711.705385;8.888461;-130.828908;-36394.496459
150.000000;0.038075;0.037321;0.000750;3.705668;5.026548;-1.305936;-3583.102054;-4376.232006;757.985618;8.626927;-132.087998;-35282.195007
151.000000;0.038201;0.037492;0.000705;3.581267;4.873838;-1.278826;-3582.354235;-4419.661062;803.342362;8.362927;-133.307045;-34163.240133
152.000000;0.038323;0.037659;0.000661;3.456897;4.719643;-1.250159;-3581.329749;-4461.743846;847.720357;8.096541;-134.485894;-33037.946284
153.000000;0.038441;0.037820;0.000618;3.332567;4.564010;-1.219969;-3580.059976;-4502.467539;891.065535;7.827851;-135.624400;-31906.619587
154.000000;0.038555;0.037976;0.000577;3.208284;4.406987;-1.188292;-3578.575203;-4541.819738;933.325088;7.556936;-136.722429;-30769.557932
155.000000;0.038664;0.038126;0.000536;3.084057;4.248622;-1.155168;-3576.904617;-4579.788454;974.447527;7.283877;-137.779856;-29627.051090
156.000000;0.038769;0.038271;0.000496;2.959890;4.088963;-1.120636;-3575.076295;-4616.362122;1014.382752;7.008754;-138.796564;-28479.380841
157.000000;0.038870;0.038410;0.000458;2.835789;3.928058;-1.084739;-3573.117201;-4651.529601;1053.082108;6.731650;-139.772446;-27326.821131
158.000000;0.038966;0.038544;0.000421;2.711758;3.765956;-1.047520;-3571.053181;-4685.280180;1090.498446;6.452644;-140.707401;-26169.638245
159.000000;0.039058;0.038672;0.000385;2.587800;3.602708;-1.009025;-3568.908957;-4717.603577;1126.586180;6.171820;-141.601338;-25008.090996
160.000000;0.039146;0.038794;0.000351;2.463918;3.438362;-0.969301;-3566.708131;-4748.489946;1161.301341;5.889258;-142.454172;-23842.430938
161.000000;0.039229;0.038910;0.000318;2.340112;3.272968;-0.928396;-3564.473179;-4777.929879;1194.601636;5.605040;-143.265823;-22672.902586
162.000000;0.039308;0.039021;0.000286;2.216385;3.106578;-0.886359;-3562.225457;-4805.914408;1226.446493;5.319249;-144.036220;-21499.743663
163.000000;0.039383;0.039126;0.000256;2.092735;2.939241;-0.843243;-3559.985196;-4832.435010;1256.797114;5.031966;-144.765297;-20323.185353
164.000000;0.039454;0.039225;0.000228;1.969163;2.771009;-0.799099;-3557.771508;-4857.483604;1285.616521;4.743273;-145.452994;-19143.452569
165.000000;0.039520;0.039319;0.000201;1.845667;2.601933;-0.753982;-3555.602386;-4881.052563;1312.869602;4.453254;-146.099255;-17960.764237
