# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
267.000000;0.024109;-9.874105;-1844.286865;-17.432911;-8.272024;75674.182727
268.000000;0.023765;-9.936710;-1761.367331;-17.446627;-5.516497;75743.263403
269.000000;0.023419;-9.996398;-1676.320958;-17.454859;-2.758793;75784.734378
270.000000;0.023071;-10.053096;-1589.169660;-17.457603;-0.000000;75798.561800
271.000000;0.022721;-10.106733;-1499.938650;-17.454859;2.758793;75784.734378
272.000000;0.022369;-10.157235;-1408.656443;-17.446627;5.516497;75743.263403
273.000000;0.022015;-10.204533;-1315.354836;-17.432911;8.272024;75674.182727
274.000000;0.021660;-10.248556;-1220.068892;-17.413716;11.024286;75577.548667
275.000000;0.021304;-10.289237;-1122.836910;-17.389049;13.772201;75453.439863
276.000000;0.020946;-10.326509;-1023.700384;-17.358922;16.514691;75301.957063
277.000000;0.020587;-10.360306;-922.703962;-17.323344;19.250683;75123.222864
278.000000;0.020226;-10.390565;-819.895389;-17.282331;21.979112;74917.381393
279.000000;0.019865;-10.417223;-715.325446;-17.235898;24.698918;74684.597924
280.000000;0.019503;-10.440220;-609.047882;-17.184063;27.409053;74425.058460
281.000000;0.019140;-10.459499;-501.119335;-17.126847;30.108475;74138.969248
282.000000;0.018777;-10.475002;-391.599252;-17.064273;32.796156;73826.556253
283.000000;0.018413;-10.486675;-280.549797;-16.996364;35.471079;73488.064589
284.000000;0.018048;-10.494468;-168.035757;-16.923147;38.132238;73123.757897
285.000000;0.017684;-10.498328;-54.124439;-16.844651;40.778642;72733.917695
286.000000;0.017319;-10.498211;61.114436;-16.760905;43.409314;72318.842679
287.000000;0.016955;-10.494070;177.608847;-16.671941;46.023291;71878.847996
288.000000;0.016591;-10.485863;295.284584;-16.577795;48.619626;71414.264489
289.000000;0.016227;-10.473551;414.065373;-16.478502;51.197391;70925.437905
290.000000;0.015863;-10.457097;533.872998;-16.374100;53.755672;70412.728085
291.000000;0.015501;-10.436466;654.627428;-16.264629;56.293574;69876.508136
292.000000;0.015139;-10.411626;776.246942;-16.150129;58.810221;69317.163576
293.000000;0.014778;-10.382551;898.648266;-16.030645;61.304755;68735.091475
294.000000;0.014418;-10.349212;1021.746703;-15.906221;63.776337;68130.699580
295.000000;0.014059;-10.311589;1145.456263;-15.776903;66.224150;67504.405431
296.000000;0.013702;-10.269661;1269.689803;-15.642740;68.647394;66856.635483
297.000000;0.013346;-10.223411;1394.359156;-15.503780;71.045292;66187.824213
298.000000;0.012992;-10.172826;1519.375272;-15.360077;73.417087;65498.413242
299.000000;0.012640;-10.117896;1644.648342;-15.211681;75.762041;64788.850459
300.000000;0.012289;-10.058613;1770.087937;-15.058647;78.079441;64059.589149
301.000000;0.011941;-9.994972;1895.603137;-14.901031;80.368591;63311.087137
