# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|  118.0000 |       0.0318 |     0.0294 |     0.0023 |        7.5799 |      8.8764 |     -1.2502 |    -3225.3273 |  -2372.3513 |   -847.7204 |
|  119.0000 |       0.0320 |     0.0297 |     0.0023 |        7.4674 |      8.7926 |     -1.2788 |    -3255.0679 |  -2449.8581 |   -803.3424 |
|  120.0000 |       0.0323 |     0.0300 |     0.0023 |        7.3539 |      8.7062 |     -1.3059 |    -3283.1495 |  -2526.6187 |   -757.9856 |
|  121.0000 |       0.0325 |     0.0303 |     0.0022 |        7.2394 |      8.6172 |     -1.3315 |    -3309.6162 |  -2602.6097 |   -711.7054 |
|  122.0000 |       0.0328 |     0.0306 |     0.0022 |        7.1240 |      8.5255 |     -1.3553 |    -3334.5131 |  -2677.8079 |   -664.5580 |
|  123.0000 |       0.0330 |     0.0309 |     0.0021 |        7.0079 |      8.4312 |     -1.3776 |    -3357.8858 |  -2752.1904 |   -616.6011 |
|  124.0000 |       0.0333 |     0.0312 |     0.0021 |        6.8909 |      8.3344 |     -1.3982 |    -3379.7806 |  -2825.7345 |   -567.8928 |
|  125.0000 |       0.0335 |     0.0315 |     0.0020 |        6.7732 |      8.2350 |     -1.4170 |    -3400.2443 |  -2898.4179 |   -518.4927 |
|  126.0000 |       0.0337 |     0.0318 |     0.0020 |        6.6548 |      8.1331 |     -1.4342 |    -3419.3242 |  -2970.2185 |   -468.4609 |
|  127.0000 |       0.0340 |     0.0320 |     0.0019 |        6.5357 |      8.0288 |     -1.4495 |    -3437.0678 |  -3041.1142 |   -417.8583 |
|  128.0000 |       0.0342 |     0.0323 |     0.0019 |        6.4161 |      7.9219 |     -1.4632 |    -3453.5227 |  -3111.0836 |   -366.7466 |
|  129.0000 |       0.0344 |     0.0326 |     0.0018 |        6.2959 |      7.8127 |     -1.4750 |    -3468.7368 |  -3180.1054 |   -315.1881 |
|  130.0000 |       0.0346 |     0.0329 |     0.0018 |        6.1752 |      7.7011 |     -1.4851 |    -3482.7578 |  -3248.1584 |   -263.2456 |
|  131.0000 |       0.0349 |     0.0331 |     0.0017 |        6.0541 |      7.5872 |     -1.4933 |    -3495.6335 |  -3315.2221 |   -210.9824 |
|  132.0000 |       0.0351 |     0.0334 |     0.0017 |        5.9325 |      7.4709 |     -1.4997 |    -3507.4114 |  -3381.2758 |   -158.4621 |
|  133.0000 |       0.0353 |     0.0336 |     0.0016 |        5.8105 |      7.3524 |     -1.5043 |    -3518.1389 |  -3446.2997 |   -105.7488 |
|  134.0000 |       0.0355 |     0.0339 |     0.0016 |        5.6882 |      7.2316 |     -1.5070 |    -3527.8629 |  -3510.2737 |    -52.9066 |
|  135.0000 |       0.0357 |     0.0341 |     0.0015 |        5.5655 |      7.1086 |     -1.5080 |    -3536.6301 |  -3573.1785 |     -0.0000 |
|  136.0000 |       0.0359 |     0.0344 |     0.0014 |        5.4426 |      6.9835 |     -1.5070 |    -3544.4865 |  -3634.9948 |     52.9066 |
|  137.0000 |       0.0360 |     0.0346 |     0.0014 |        5.3194 |      6.8562 |     -1.5043 |    -3551.4778 |  -3695.7039 |    105.7488 |
|  138.0000 |       0.0362 |     0.0349 |     0.0013 |        5.1960 |      6.7268 |     -1.4997 |    -3557.6489 |  -3755.2873 |    158.4621 |
|  139.0000 |       0.0364 |     0.0351 |     0.0013 |        5.0723 |      6.5954 |     -1.4933 |    -3563.0444 |  -3813.7267 |    210.9824 |
|  140.0000 |       0.0366 |     0.0353 |     0.0012 |        4.9485 |      6.4620 |     -1.4851 |    -3567.7078 |  -3871.0045 |    263.2456 |
|  141.0000 |       0.0367 |     0.0355 |     0.0012 |        4.8246 |      6.3266 |     -1.4750 |    -3571.6820 |  -3927.1031 |    315.1881 |
|  142.0000 |       0.0369 |     0.0358 |     0.0011 |        4.7005 |      6.1893 |     -1.4632 |    -3575.0093 |  -3982.0055 |    366.7466 |
|  143.0000 |       0.0371 |     0.0360 |     0.0011 |        4.5763 |      6.0501 |     -1.4495 |    -3577.7309 |  -4035.6949 |    417.8583 |
|  144.0000 |       0.0372 |     0.0362 |     0.0010 |        4.4521 |      5.9091 |     -1.4342 |    -3579.8873 |  -4088.1550 |    468.4609 |
