alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
362,52773.7,-13933.9,38839.8,0.0116334,38842.4,451.86,38800.4,1807.07,108.424,13329.3
362.5,52773.7,-13925.4,38848.3,0.0145403,38852.4,564.906,38786.7,2258.91,135.534,13321.1
363,52773.7,-13915.1,38858.7,0.0174462,38864.6,678.005,38769.9,2710.78,162.647,13311.2
363.5,52773.7,-13902.8,38870.9,0.0203509,38879,791.168,38750.1,3162.71,189.762,13299.5
364,52773.7,-13888.7,38885.1,0.0232543,38895.6,904.406,38727.3,3614.69,216.881,13286
364.5,52773.7,-13872.7,38901.1,0.026156,38914.4,1017.73,38701.3,4066.74,244.004,13270.6
365,52773.7,-13854.8,38919,0.029056,38935.4,1131.15,38672.3,4518.85,271.131,13253.5
365.5,52773.7,-13835,38938.7,0.031954,38958.6,1244.67,38640.2,4971.05,298.263,13234.6
366,52773.7,-13813.4,38960.3,0.0348499,38984,1358.31,38604.9,5423.34,325.4,13213.9
366.5,52773.7,-13789.9,38983.8,0.0377434,39011.6,1472.08,38566.6,5875.71,352.543,13191.5
367,52773.7,-13764.6,39009.2,0.0406343,39041.4,1585.98,38525.1,6328.18,379.691,13167.3
367.5,52773.7,-13737.4,39036.3,0.0435225,39073.3,1700.03,38480.5,6780.75,406.845,13141.2
368,52773.7,-13708.4,39065.4,0.0464077,39107.5,1814.24,38432.7,7233.43,434.006,13113.5
368.5,52773.7,-13677.5,39096.2,0.0492898,39143.8,1928.61,38381.7,7686.22,461.173,13083.9
369,52773.7,-13644.8,39129,0.0521685,39182.3,2043.15,38327.6,8139.11,488.347,13052.7
369.5,52773.7,-13610.3,39163.5,0.0550437,39222.9,2157.88,38270.2,8592.13,515.528,13019.6
370,52773.7,-13573.9,39199.8,0.0579151,39265.7,2272.8,38209.6,9045.25,542.715,12984.9
370.5,52773.7,-13535.7,39238,0.0607826,39310.6,2387.93,38145.8,9498.5,569.91,12948.3
371,52773.7,-13495.8,39278,0.063646,39357.6,2503.26,38078.7,9951.86,597.112,12910.1
371.5,52773.7,-13454,39319.7,0.066505,39406.8,2618.82,38008.3,10405.3,624.32,12870.2
372,52773.7,-13410.5,39363.3,0.0693595,39458.1,2734.6,37934.5,10858.9,651.536,12828.5
372.5,52773.7,-13365.1,39408.6,0.0722093,39511.6,2850.62,37857.5,11312.6,678.758,12785.1
373,52773.7,-13318,39455.7,0.0750541,39567.1,2966.89,37777,11766.4,705.987,12740.1
373.5,52773.7,-13269.2,39504.5,0.0778939,39624.7,3083.4,37693.2,12220.4,733.222,12693.4
374,52773.7,-13218.6,39555.2,0.0807283,39684.4,3200.17,37606,12674.4,760.462,12644.9
374.5,52773.7,-13166.2,39607.5,0.0835572,39746.2,3317.21,37515.3,13128.5,787.709,12594.9
375,52773.7,-13112.2,39661.6,0.0863804,39810,3434.53,37421.2,13582.7,814.96,12543.2
375.5,52773.7,-13056.4,39717.4,0.0891977,39875.9,3552.12,37323.6,14036.9,842.216,12489.8
376,52773.7,-12998.9,39774.9,0.0920089,39943.8,3670,37222.5,14491.3,869.476,12434.8
376.5,52773.7,-12939.7,39834,0.0948138,40013.8,3788.17,37117.8,14945.7,896.739,12378.2
377,52773.7,-12878.8,39894.9,0.0976122,40085.7,3906.65,37009.5,15400.1,924.005,12319.9
377.5,52773.7,-12816.3,39957.5,0.100404,40159.7,4025.42,36897.6,15854.6,951.273,12260.1
378,52443.9,-12752.1,39691.8,0.103189,39904,4110.34,36479,16174.6,970.476,12198.7
378.5,51524.5,-12686.2,38838.2,0.105966,39057.3,4131.02,35520.4,16241.1,974.466,12135.7
379,50611.4,-12618.8,37992.7,0.108737,38218.4,4147.56,34572.5,16290.8,977.448,12071.1
379.5,49705.6,-12549.7,37156,0.1115,37388.2,4160.14,33636.1,16324.4,979.467,12005.1
380,48808,-12479,36329.1,0.114255,36567.5,4168.94,32712.3,16342.8,980.567,11937.4
380.5,47919.3,-12406.7,35512.6,0.117003,35757.1,4174.13,31801.9,16346.6,980.795,11868.3
381,47040.3,-12332.8,34707.5,0.119742,34957.8,4175.92,30905.7,16336.6,980.196,11797.6
381.5,46171.6,-12257.4,33914.2,0.122473,34170.1,4174.46,30024.4,16313.6,978.814,11725.5
382,45313.7,-12180.4,33133.3,0.125196,33394.6,4169.95,29158.5,16278.3,976.695,11651.9
382.5,44467.3,-12102,32365.3,0.12791,32631.9,4162.56,28308.7,16231.4,973.882,11576.8
383,43632.7,-12022,31610.7,0.130615,31882.3,4152.47,27475.3,16173.7,970.419,11500.2
383.5,42810.3,-11940.5,30869.9,0.133311,31146.2,4139.84,26658.8,16105.8,966.348,11422.3
384,42000.5,-11857.5,30143.1,0.135998,30424,4124.85,25859.3,16028.5,961.712,11342.9
384.5,41203.7,-11773,29430.6,0.138675,29715.9,4107.66,25077.3,15942.5,956.549,11262.1
385,40419.9,-11687.2,28732.7,0.141343,29022.1,4088.43,24312.9,15848.4,950.901,11180
385.5,39649.4,-11599.8,28049.6,0.144001,28342.9,4067.32,23566.1,15746.8,944.805,11096.5
386,38892.4,-11511.1,27381.3,0.146649,27678.4,4044.47,22837.2,15638.3,938.299,11011.6
