alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
155.5,1194.59,8225.33,9419.92,0.138675,9511.23,1314.75,-9116.98,2710.01,149.05,-4273.75
156,1194.59,8213.95,9408.54,0.135998,9496.22,1287.49,-9118.8,2650.62,145.784,-4267.83
156.5,1194.59,8202.59,9397.18,0.133311,9481.31,1260.22,-9120.29,2591.42,142.528,-4261.93
157,1194.59,8191.26,9385.85,0.130615,9466.49,1232.95,-9121.47,2532.41,139.282,-4256.04
157.5,1194.59,8179.98,9374.57,0.12791,9451.78,1205.68,-9122.36,2473.59,136.047,-4250.18
158,1194.59,8168.75,9363.34,0.125196,9437.2,1178.41,-9122.98,2414.96,132.823,-4244.35
158.5,1194.59,8157.59,9352.18,0.122473,9422.76,1151.15,-9123.33,2356.53,129.609,-4238.55
159,1194.59,8146.5,9341.1,0.119742,9408.46,1123.9,-9123.43,2298.3,126.407,-4232.79
159.5,1194.59,8135.52,9330.11,0.117003,9394.34,1096.66,-9123.31,2240.27,123.215,-4227.08
160,1194.59,8124.63,9319.22,0.114255,9380.38,1069.43,-9122.97,2182.43,120.034,-4221.43
160.5,1194.59,8113.86,9308.46,0.1115,9366.62,1042.21,-9122.43,2124.79,116.864,-4215.83
161,1194.59,8103.22,9297.81,0.108737,9353.05,1015.02,-9121.71,2067.35,113.704,-4210.3
161.5,1194.59,8092.72,9287.31,0.105966,9339.7,987.843,-9120.82,2010.11,110.556,-4204.84
162,1194.59,8082.36,9276.95,0.103189,9326.56,960.689,-9119.77,1953.07,107.419,-4199.46
162.5,1194.59,8072.16,9266.75,0.100404,9313.66,933.557,-9118.59,1896.22,104.292,-4194.16
163,1194.59,8062.13,9256.72,0.0976122,9301,906.45,-9117.27,1839.56,101.176,-4188.95
163.5,1194.59,8052.28,9246.87,0.0948138,9288.59,879.368,-9115.84,1783.1,98.0704,-4183.83
164,1194.59,8042.62,9237.21,0.0920089,9276.45,852.312,-9114.31,1726.83,94.9754,-4178.81
