alpha_deg,P,V
433.5,937267,0.000601647
434,927389,0.000606894
434.5,917701,0.000612141
435,908198,0.000617386
435.5,898876,0.000622629
436,889731,0.00062787
436.5,880758,0.000633108
437,871955,0.000638343
437.5,863316,0.000643574
438,854839,0.0006488
438.5,846521,0.000654021
439,838356,0.000659237
439.5,830343,0.000664448
440,822477,0.000669652
440.5,814756,0.000674849
441,807177,0.000680039
441.5,799736,0.000685221
442,792430,0.000690395
442.5,785256,0.00069556
443,778213,0.000700716
443.5,771296,0.000705863
444,764503,0.000710999
444.5,757832,0.000716125
445,751280,0.000721241
445.5,744844,0.000726345
446,738523,0.000731437
446.5,732313,0.000736517
447,726213,0.000741584
447.5,720219,0.000746639
448,714331,0.00075168
448.5,708545,0.000756707
449,702861,0.00076172
449.5,697274,0.000766719
450,691785,0.000771702
450.5,686390,0.00077667
451,681088,0.000781623
451.5,675876,0.000786559
452,670754,0.000791479
452.5,665720,0.000796382
453,660771,0.000801268
453.5,655905,0.000806136
454,651123,0.000810987
454.5,646420,0.000815819
455,641797,0.000820633
455.5,637252,0.000825428
456,632783,0.000830203
456.5,628388,0.000834959
457,624067,0.000839696
457.5,619817,0.000844412
458,615638,0.000849107
458.5,611528,0.000853782
459,607485,0.000858436
459.5,603510,0.000863069
460,599599,0.00086768
460.5,595753,0.000872269
461,591970,0.000876836
461.5,588248,0.00088138
462,584587,0.000885902
462.5,580985,0.000890401
463,577442,0.000894877
463.5,573957,0.000899329
464,570527,0.000903757
464.5,567153,0.000908162
465,563833,0.000912543
465.5,560567,0.000916899
466,557353,0.00092123
466.5,554191,0.000925537
467,551079,0.000929819
467.5,548017,0.000934076
468,545003,0.000938307
468.5,542038,0.000942512
469,539119,0.000946692
469.5,536248,0.000950846
470,533421,0.000954974
470.5,530640,0.000959075
471,527902,0.00096315
471.5,525208,0.000967198
472,522556,0.000971219
472.5,519946,0.000975213
473,517377,0.000979181
473.5,514848,0.000983121
474,512360,0.000987033
474.5,509910,0.000990918
475,507499,0.000994775
475.5,505126,0.000998604
476,502790,0.00100241
476.5,500490,0.00100618
