alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
57,-141.11,-223.848,-304.201
57.5,-134.771,-217.51,-306.127
58,-128.374,-211.113,-307.997
58.5,-121.922,-204.661,-309.811
59,-115.419,-198.157,-311.569
59.5,-108.868,-191.607,-313.27
60,-102.273,-185.012,-314.913
60.5,-95.6376,-178.376,-316.498
61,-88.9654,-171.704,-318.026
61.5,-82.2601,-164.999,-319.495
62,-75.5252,-158.264,-320.906
62.5,-68.7644,-151.503,-322.257
63,-61.9812,-144.72,-323.55
63.5,-55.1794,-137.918,-324.783
64,-48.3623,-131.101,-325.957
64.5,-41.5337,-124.272,-327.071
65,-34.6969,-117.436,-328.126
65.5,-27.8556,-110.594,-329.121
66,-21.0132,-103.752,-330.056
66.5,-14.1732,-96.9118,-330.932
67,-7.33897,-90.0775,-331.747
67.5,-0.513942,-83.2525,-332.504
68,6.29852,-76.4401,-333.2
68.5,13.0951,-69.6435,-333.838
69,19.8725,-62.8661,-334.416
69.5,26.6274,-56.1111,-334.935
70,33.3567,-49.3818,-335.396
70.5,40.0572,-42.6813,-335.797
71,46.7258,-36.0128,-336.141
71.5,53.3594,-29.3792,-336.426
72,59.9549,-22.7837,-336.654
72.5,66.5095,-16.2291,-336.824
73,73.0201,-9.71853,-336.937
73.5,79.4839,-3.25472,-336.994
74,85.898,3.15946,-336.994
74.5,92.2599,9.52128,-336.939
75,98.5666,15.828,-336.828
75.5,104.816,22.077,-336.663
76,111.004,28.2658,-336.443
76.5,117.13,34.3917,-336.17
77,123.191,40.4523,-335.843
77.5,129.184,46.4452,-335.464
78,135.107,52.3682,-335.033
78.5,140.957,58.2188,-334.55
79,146.734,63.995,-334.017
79.5,152.433,69.6946,-333.434
80,158.054,75.3156,-332.801
80.5,163.594,80.8559,-332.119
81,169.052,86.3135,-331.39
81.5,174.425,91.6868,-330.613
82,179.712,96.9738,-329.79
82.5,184.911,102.173,-328.921
83,190.021,107.282,-328.007
83.5,195.039,112.301,-327.049
84,199.965,117.226,-326.048
84.5,204.796,122.058,-325.004
85,209.532,126.794,-323.918
85.5,214.172,131.433,-322.791
86,218.713,135.974,-321.624
86.5,223.155,140.416,-320.418
87,227.497,144.758,-319.174
87.5,231.738,148.999,-317.892
88,235.877,153.138,-316.574
88.5,239.912,157.174,-315.22
89,243.844,161.106,-313.831
89.5,247.671,164.933,-312.409
90,251.394,168.655,-310.953
90.5,255.01,172.272,-309.465
91,258.52,175.782,-307.947
91.5,261.924,179.185,-306.398
92,265.221,182.482,-304.82
92.5,268.41,185.671,-303.213
93,271.491,188.753,-301.58
93.5,274.465,191.726,-299.92
94,277.33,194.592,-298.234
94.5,280.088,197.35,-296.524
95,282.738,199.999,-294.79
95.5,285.28,202.541,-293.034
96,287.714,204.975,-291.256
96.5,290.04,207.302,-289.457
97,292.26,209.521,-287.638
97.5,294.372,211.633,-285.8
98,296.377,213.639,-283.945
98.5,298.276,215.538,-282.072
99,300.07,217.331,-280.183
99.5,301.758,219.019,-278.279
100,303.341,220.603,-276.361
100.5,304.821,222.082,-274.43
101,306.197,223.458,-272.485
101.5,307.47,224.732,-270.53
102,308.642,225.903,-268.564
102.5,309.712,226.974,-266.588
103,310.683,227.944,-264.603
103.5,311.553,228.815,-262.61
104,312.326,229.587,-260.609
104.5,313.001,230.263,-258.603
105,313.58,230.841,-256.591
105.5,314.064,231.325,-254.574
106,314.453,231.714,-252.554
106.5,314.749,232.011,-250.531
107,314.953,232.215,-248.505
107.5,315.067,232.328,-246.478
108,315.091,232.353,-244.451
108.5,315.027,232.288,-242.423
109,314.876,232.137,-240.397
109.5,314.639,231.9,-238.372
110,314.318,231.579,-236.35
110.5,313.914,231.175,-234.331
111,313.428,230.689,-232.315
111.5,312.862,230.123,-230.305
112,312.217,229.479,-228.299
112.5,311.495,228.757,-226.3
113,310.697,227.959,-224.307
113.5,309.825,227.086,-222.322
114,308.879,226.141,-220.344
114.5,307.862,225.124,-218.375
115,306.775,224.037,-216.415
115.5,305.62,222.881,-214.465
116,304.398,221.659,-212.525
116.5,303.11,220.371,-210.597
117,301.758,219.02,-208.679
117.5,300.344,217.605,-206.774
118,298.869,216.131,-204.882
118.5,297.335,214.596,-203.002
119,295.743,213.004,-201.137
119.5,294.095,211.356,-199.285
120,292.392,209.654,-197.448
120.5,290.636,207.898,-195.626
121,288.829,206.09,-193.82
121.5,286.971,204.233,-192.029
122,285.065,202.327,-190.255
122.5,283.112,200.374,-188.498
123,281.114,198.375,-186.758
123.5,279.071,196.333,-185.036
124,276.986,194.248,-183.332
124.5,274.861,192.122,-181.646
125,272.695,189.957,-179.979
125.5,270.492,187.753,-178.331
126,268.252,185.513,-176.702
126.5,265.977,183.238,-175.093
127,263.668,180.929,-173.504
127.5,261.326,178.588,-171.936
128,258.954,176.216,-170.387
128.5,256.553,173.814,-168.86
129,254.123,171.384,-167.354
129.5,251.666,168.928,-165.869
130,249.184,166.446,-164.406
130.5,246.678,163.939,-162.964
131,244.149,161.41,-161.545
131.5,241.598,158.859,-160.147
132,239.027,156.288,-158.772
132.5,236.436,153.698,-157.419
133,233.828,151.089,-156.09
133.5,231.203,148.464,-154.783
134,228.562,145.824,-153.498
134.5,225.907,143.168,-152.237
135,223.238,140.5,-151
